Daerah,Laki-laki,Perempuan,
KOTA PAGAR ALAM,65.21,69.22,
Kota Pagar Alam,65.21,69.22,
KOTA LUBUKLINGGAU,67.54,71.75,
Kota Lubuklinggau,67.54,71.75,
BENGKULU,67.74,71.68,
BENGKULU SELATAN,66.06,70.24,
Bengkulu Selatan,66.06,70.24,
REJANG LEBONG,67.09,71.01,
Rejang Lebong,67.09,71.01,
BENGKULU UTARA,66.36,70.5,
Bengkulu Utara,66.36,70.5,
KAUR,65.06,68.91,
Kaur,65.06,68.91,
SELUMA,66.21,70.13,
Seluma,66.21,70.13,
MUKOMUKO,65.01,68.91,
Mukomuko,65.01,68.91,
LEBONG,61.42,65.72,
Lebong,61.42,65.72,
KEPAHIANG,66.27,70.23,
Kepahiang,66.27,70.23,
BENGKULU TENGAH,66.31,70.49,
Bengkulu Tengah,66.31,70.49,
KOTA BENGKULU,68.48,72.36,
Kota Bengkulu,68.48,72.36,
LAMPUNG,69.07,72.97,
LAMPUNG BARAT,65.76,69.86,
Lampung Barat,65.76,69.86,
TANGGAMUS,66.92,70.86,
Tanggamus,66.92,70.86,
LAMPUNG SELATAN,67.62,71.62,
Lampung Selatan,67.62,71.62,
LAMPUNG TIMUR,68.95,72.93,
Lampung Timur,68.95,72.93,
LAMPUNG TENGAH,68,72.06,
Lampung Tengah,68,72.06,
LAMPUNG UTARA,67.48,71.55,
Lampung Utara,67.48,71.55,
WAY KANAN,67.58,71.64,
Way Kanan,67.58,71.64,
TULANGBAWANG,68.14,72.18,
Tulangbawang,68.14,72.18,
PESAWARAN,67.37,71.36,
Pesawaran,67.37,71.36,
PRINGSEWU,68.58,72.55,
Pringsewu,68.58,72.55,
MESUJI,66.36,70.49,
Mesuji,66.36,70.49,
TULANGBAWANG BARAT,68.18,72.19,
Tulang Bawang Barat,68.18,72.19,
PESISIR BARAT,61.99,65.89,
Pesisir Barat,61.99,65.89,
KOTA BANDAR LAMPUNG,69.61,73.49,
Kota Bandar Lampung,69.61,73.49,
KOTA METRO,69.88,73.8,
Kota Metro,69.88,73.8,
KEP. BANGKA BELITUNG,69.06,72.97,
BANGKA,69.34,73.23,
Bangka,69.34,73.23,
BELITUNG,69.24,73.23,
Belitung,69.24,73.23,
BANGKA BARAT,68.19,72.24,
Bangka Barat,68.19,72.24,
BANGKA TENGAH,69.84,73.7,
Bangka Tengah,69.84,73.7,
BANGKA SELATAN,66.51,70.72,
Bangka Selatan,66.51,70.72,
BELITUNG TIMUR,70.35,74.26,
Belitung Timur,70.35,74.26,
KOTA PANGKAL PINANG,71.71,75.51,
Kota Pangkal Pinang,71.71,75.51,
KEP. RIAU,68.58,72.47,
KEPULAUAN RIAU,68.58,72.47,
KARIMUN,69.5,73.46,
Karimun,69.5,73.46,
BINTAN,68.66,72.75,
Bintan,68.66,72.75,
NATUNA,63.72,67.63,
Natuna,63.72,67.63,
LINGGA,60.95,64.78,
Lingga,60.95,64.78,
KEPULAUAN ANAMBAS,65.67,69.65,
Kepulauan Anambas,65.67,69.65,
KOTA BATAM,71.63,75.49,
Kota Batam,71.63,75.49,
KOTA TANJUNG PINANG,70.49,74.37,
Kota Tanjung Pinang,70.49,74.37,
DKI JAKARTA,71.45,75.22,
KEPULAUAN SERIBU,67.02,71.27,
Kep. Seribu,67.02,71.27,
KODYA JAKARTA SELATAN,72.6,76.51,
Kota Jakarta Selatan,72.6,76.51,
KODYA JAKARTA TIMUR,72.98,76.63,
Kota Jakarta Timur,72.98,76.63,
KODYA JAKARTA PUSAT,72.55,76.39,
Kota Jakarta Pusat,72.55,76.39,
KODYA JAKARTA BARAT,71.97,75.65,
Kota Jakarta Barat,71.97,75.65,
KODYA JAKARTA UTARA,71.58,75.41,
Kota Jakarta Utara,71.58,75.41,
JAWA BARAT,71.77,75.48,
BOGOR,69.72,73.54,
Bogor,69.72,73.54,
SUKABUMI,69.53,73.47,
Sukabumi,69.53,73.47,
CIANJUR,68.62,72.5,
Cianjur,68.62,72.5,
BANDUNG,72.14,75.81,
Bandung,72.14,75.81,
GARUT,69.74,73.74,
Garut,69.74,73.74,
TASIKMALAYA,67.97,71.88,
Tasikmalaya,67.97,71.88,
CIAMIS,70.39,74.2,
Ciamis,70.39,74.2,
KUNINGAN,72.18,75.87,
Kuningan,72.18,75.87,
CIREBON,70.54,74.37,
Cirebon,70.54,74.37,
MAJALENGKA,68.79,72.68,
Majalengka,68.79,72.68,
SUMEDANG,70.95,74.78,
Sumedang,70.95,74.78,
INDRAMAYU,70.24,74.04,
Indramayu,70.24,74.04,
SUBANG,71.03,74.79,
Subang,71.03,74.79,
PURWAKARTA,69.5,73.37,
Purwakarta,69.5,73.37,
KARAWANG,70.69,74.5,
Karawang,70.69,74.5,
BEKASI,72.17,75.87,
Bekasi,72.17,75.87,
BANDUNG BARAT,70.88,74.67,
Bandung Barat,70.88,74.67,
PANGANDARAN,69.94,73.77,
Pangandaran,69.94,73.77,
KOTA BOGOR,72.25,75.96,
Kota Bogor,72.25,75.96,
KOTA SUKABUMI,70.92,74.72,
Kota Sukabumi,70.92,74.72,
KOTA BANDUNG,72.92,76.46,
Kota Bandung,72.92,76.46,
KOTA CIREBON,70.82,74.61,
Kota Cirebon,70.82,74.61,
KOTA BEKASI,73.7,77.18,
Kota Bekasi,73.7,77.18,
KOTA DEPOK,73.08,76.91,
Kota Depok,73.08,76.91,
KOTA CIMAHI,72.66,76.26,
Kota Cimahi,72.66,76.26,
KOTA TASIKMALAYA,70.73,74.51,
Kota Tasikmalaya,70.73,74.51,
KOTA BANJAR,69.53,73.39,
Kota Banjar,69.53,73.39,
JAWA TENGAH,72.71,76.53,
CILACAP,72.25,75.94,
Cilacap,72.25,75.94,
BANYUMAS,72.06,75.86,
Banyumas,72.06,75.86,
PURBALINGGA,71.38,75.18,
Purbalingga,71.38,75.18,
BANJARNEGARA,72.49,76.22,
Banjarnegara,72.49,76.22,
KEBUMEN,71.8,75.57,
Kebumen,71.8,75.57,
PURWOREJO,73.16,76.87,
Purworejo,73.16,76.87,
WONOSOBO,70.12,73.95,
Wonosobo,70.12,73.95,
MAGELANG,72.13,75.9,
Magelang,72.13,75.9,
BOYOLALI,74.32,78.07,
Boyolali,74.32,78.07,
KLATEN,75.18,78.91,
Klaten,75.18,78.91,
SUKOHARJO,76.09,79.83,
Sukoharjo,76.09,79.83,
WONOGIRI,74.53,78.26,
Wonogiri,74.53,78.26,
KARANGANYAR,75.89,79.54,
Karanganyar,75.89,79.54,
SRAGEN,74.1,77.73,
Sragen,74.1,77.73,
GROBOGAN,73.1,76.77,
Grobogan,73.1,76.77,
BLORA,72.78,76.48,
Blora,72.78,76.48,
REMBANG,72.79,76.51,
Rembang,72.79,76.51,
PATI,74.34,78.18,
Pati,74.34,78.18,
KUDUS,74.94,78.75,
Kudus,74.94,78.75,
JEPARA,74.18,77.96,
Jepara,74.18,77.96,
DEMAK,73.69,77.45,
Demak,73.69,77.45,
SEMARANG,74.08,77.77,
Semarang,74.08,77.77,
TEMANGGUNG,73.87,77.64,
Temanggung,73.87,77.64,
KENDAL,72.7,76.41,
Kendal,72.7,76.41,
BATANG,72.93,76.7,
Batang,72.93,76.7,
PEKALONGAN,71.89,75.67,
Pekalongan,71.89,75.67,
PEMALANG,71.79,75.66,
Pemalang,71.79,75.66,
TEGAL,69.98,73.74,
Tegal,69.98,73.74,
BREBES,67.83,71.65,
Brebes,67.83,71.65,
KOTA MAGELANG,75.19,78.92,
Kota Magelang,75.19,78.92,
KOTA SURAKARTA,75.66,79.35,
Kota Surakarta,75.66,79.35,
KOTA SALATIGA,75.66,79.63,
Kota Salatiga,75.66,79.63,
KOTA SEMARANG,75.94,79.61,
Kota Semarang,75.94,79.61,
KOTA PEKALONGAN,72.59,76.34,
Kota Pekalongan,72.59,76.34,
KOTA TEGAL,72.72,76.56,
Kota Tegal,72.72,76.56,
DI YOGYAKARTA,73.28,76.93,
D I YOGYAKARTA,73.28,76.93,
KULON PROGO,73.4,77.2,
Kulon Progo,73.4,77.2,
BANTUL,71.98,75.73,
Bantul,71.98,75.73,
GUNUNG KIDUL,72.27,76.1,
Gunung Kidul,72.27,76.1,
SLEMAN,73.1,76.77,
Sleman,73.1,76.77,
KOTA YOGYAKARTA,72.95,76.42,
Kota Yogyakarta,72.95,76.42,
JAWA TIMUR,69.81,73.71,
JAWA TIMUR,69.81,73.71,
PACITAN,70.47,74.37,
Pacitan,70.47,74.37,
PONOROGO,71.2,75.05,
Ponorogo,71.2,75.05,
TRENGGALEK,72.31,76.05,
Trenggalek,72.31,76.05,
TULUNGAGUNG,72.61,76.34,
Tulungagung,72.61,76.34,
BLITAR,72.01,75.79,
Blitar,72.01,75.79,
KEDIRI,70.93,74.79,
Kediri,70.93,74.79,
MALANG,70.92,74.8,
Malang,70.92,74.8,
LUMAJANG,68.54,72.56,
Lumajang,68.54,72.56,
JEMBER,67.58,71.62,
Jember,67.58,71.62,
BANYUWANGI,68.94,73.04,
Banyuwangi,68.94,73.04,
BONDOWOSO,65.18,69.22,
Bondowoso,65.18,69.22,
SITUBONDO,67.55,71.53,
Situbondo,67.55,71.53,
PROBOLINGGO,65.7,69.76,
Probolinggo,65.7,69.76,
PASURUAN,68.49,72.49,
Pasuruan,68.49,72.49,
SIDOARJO,72.4,76.16,
Sidoarjo,72.4,76.16,
MOJOKERTO,70.9,74.78,
Mojokerto,70.9,74.78,
JOMBANG,70.85,74.71,
Jombang,70.85,74.71,
NGANJUK,69.9,73.84,
Nganjuk,69.9,73.84,
MADIUN,69.88,73.79,
Madiun,69.88,73.79,
MAGETAN,70.95,74.86,
Magetan,70.95,74.86,
NGAWI,70.82,74.65,
Ngawi,70.82,74.65,
BOJONEGORO,70.15,74.04,
Bojonegoro,70.15,74.04,
TUBAN,69.94,73.87,
Tuban,69.94,73.87,
LAMONGAN,70.86,74.71,
Lamongan,70.86,74.71,
GRESIK,70.95,74.86,
Gresik,70.95,74.86,
BANGKALAN,68.45,72.46,
Bangkalan,68.45,72.46,
SAMPANG,66.26,70.35,
Sampang,66.26,70.35,
PAMEKASAN,65.91,70.01,
Pamekasan,65.91,70.01,
SUMENEP,69.96,73.85,
Sumenep,69.96,73.85,
KOTA KEDIRI,72.35,76.18,
Kota Kediri,72.35,76.18,
KOTA BLITAR,72.31,76.06,
Kota Blitar,72.31,76.06,
KOTA MALANG,71.72,75.61,
Kota Malang,71.72,75.61,
KOTA PROBOLINGGO,68.56,72.61,
Kota Probolinggo,68.56,72.61,
KOTA PASURUAN,69.91,73.83,
Kota Pasuruan,69.91,73.83,
KOTA MOJOKERTO,71.72,75.58,
Kota Mojokerto,71.72,75.58,
KOTA MADIUN,71.15,75.02,
Kota Madiun,71.15,75.02,
KOTA SURABAYA,72.5,76.26,
Kota Surabaya,72.5,76.26,
KOTA BATU,70.95,74.86,
Kota Batu,70.95,74.86,
BANTEN,68.46,72.36,
PANDEGLANG,63.17,67.1,
Pandeglang,63.17,67.1,
LEBAK,65.69,69.66,
Lebak,65.69,69.66,
TANGERANG,68.25,72.19,
Tangerang,68.25,72.19,
SERANG,63.2,67.03,
Serang,63.2,67.03,
KOTA TANGERANG,69.86,73.8,
Kota Tangerang,69.86,73.8,
KOTA CILEGON,64.95,68.95,
Kota Cilegon,64.95,68.95,
KOTA SERANG,66.19,70.48,
Kota Serang,66.19,70.48,
KOTA TANGERANG SELATAN,70.85,74.62,
Kota Tangerang Selatan,70.85,74.62,
BALI,70.69,74.53,
JEMBRANA,70.79,74.68,
Jembrana,70.79,74.68,
TABANAN,72.13,75.88,
Tabanan,72.13,75.88,
BADUNG,73.63,77.1,
Badung,73.63,77.1,
GIANYAR,72.16,75.91,
Gianyar,72.16,75.91,
KLUNGKUNG,69.81,73.7,
Klungkung,69.81,73.7,
BANGLI,68.9,72.91,
Bangli,68.9,72.91,
KARANG ASEM,68.85,72.77,
Karangasem,68.85,72.77,
BULELENG,70.29,74.18,
Buleleng,70.29,74.18,
KOTA DENPASAR,73.39,77.05,
Kota Denpasar,73.39,77.05,
NUSA TENGGARA BARAT,65.14,69.07,
LOMBOK BARAT,65.64,69.78,
Lombok Barat,65.64,69.78,
LOMBOK TENGAH,64.75,68.77,
Lombok Tengah,64.75,68.77,
LOMBOK TIMUR,64.53,68.58,
Lombok Timur,64.53,68.58,
SUMBAWA,66.08,70.2,
Sumbawa,66.08,70.2,
DOMPU,65.38,69.4,
Dompu,65.38,69.4,
BIMA,64.9,68.92,
Bima,64.9,68.92,
SUMBAWA BARAT,66.7,70.88,
Sumbawa Barat,66.7,70.88,
LOMBOK UTARA,65.74,69.82,
Lombok Utara,65.74,69.82,
KOTA MATARAM,70.25,74.19,
Kota Mataram,70.25,74.19,
KOTA BIMA,68.84,72.88,
Kota Bima,68.84,72.88,
NUSA TENGGARA TIMUR,65.54,69.43,
SUMBA BARAT,65.28,69.29,
Sumba Barat,65.28,69.29,
SUMBA TIMUR,63.43,67.32,
Sumba Timur,63.43,67.32,
KUPANG,63.35,67.06,
Kupang,63.35,67.06,
TIMOR TENGAH SELATAN,64.67,68.67,
Timor Tengah Selatan,64.67,68.67,
TIMOR TENGAH UTARA,65.27,69.26,
Timor Tengah Utara,65.27,69.26,
BELU,63.36,67.12,
Belu,63.36,67.12,
ALOR,60.08,63.78,
Alor,60.08,63.78,
